频率(Hz),基准PSD(m2/s4/Hz),强化后PSD(m2/s4/Hz)
220.7031,2.88312766e+01,2.87977140e+01
221.1914,1.96391675e+01,1.96161760e+01
221.6797,3.02172461e+01,3.01833144e+01
222.1680,2.79404558e+01,2.79093555e+01
222.6562,1.78709737e+01,1.78506316e+01
223.1445,2.73920646e+01,2.73615190e+01
223.6328,2.72902666e+01,2.72590035e+01
224.1211,3.12445900e+01,3.12092784e+01
224.6094,2.64306703e+01,2.64002503e+01
225.0977,2.34948673e+01,2.34675026e+01
225.5859,3.51580177e+01,3.51195890e+01
226.0742,2.64023906e+01,2.63729188e+01
226.5625,2.50392466e+01,2.50118652e+01
227.0508,3.38693934e+01,3.38328468e+01
227.5391,3.87984359e+01,3.87571889e+01
228.0273,3.60206230e+01,3.59828404e+01
228.5156,2.75142926e+01,2.74853155e+01
229.0039,2.91497425e+01,2.91191069e+01
229.4922,3.51369828e+01,3.51012345e+01
229.9805,1.97174680e+01,1.96968075e+01
230.4688,1.81796591e+01,1.81610782e+01
230.9570,1.91151645e+01,1.90951808e+01
231.4453,2.27631654e+01,2.27399449e+01
231.9336,2.04464337e+01,2.04256822e+01
232.4219,1.49769693e+01,1.49612232e+01
232.9102,1.58399983e+01,1.58239795e+01
233.3984,1.69147089e+01,1.68979153e+01
233.8867,1.36768069e+01,1.36634781e+01
234.3750,1.22836522e+01,1.22717101e+01
234.8633,1.58539535e+01,1.58390032e+01
235.3516,1.81907533e+01,1.81736992e+01
235.8398,1.95173535e+01,1.94991716e+01
236.3281,1.79087789e+01,1.78919466e+01
236.8164,1.67788476e+01,1.67630536e+01
237.3047,1.29082956e+01,1.28961071e+01
237.7930,1.07638604e+01,1.07537345e+01
238.2812,1.34008435e+01,1.33882700e+01
238.7695,1.80082169e+01,1.79917452e+01
239.2578,2.28783219e+01,2.28575033e+01
239.7461,2.90149719e+01,2.89892599e+01
240.2344,3.17360122e+01,3.17079147e+01
240.7227,3.71816820e+01,3.71493401e+01
241.2109,3.67002196e+01,3.66679071e+01
241.6992,3.92096870e+01,3.91757831e+01
242.1875,3.14885828e+01,3.14608618e+01
242.6758,2.96082423e+01,2.95826611e+01
243.1641,2.45981899e+01,2.45762658e+01
243.6523,2.49504982e+01,2.49287349e+01
244.1406,2.43566359e+01,2.43353489e+01
244.6289,2.71794002e+01,2.71559600e+01
245.1172,2.81411709e+01,2.81167951e+01
245.6055,3.41440528e+01,3.41150585e+01
246.0938,3.53306874e+01,3.53015350e+01
246.5820,2.51330317e+01,2.51123365e+01
247.0703,2.42285443e+01,2.42092007e+01
247.5586,2.34503136e+01,2.34314473e+01
248.0469,2.68070624e+01,2.67859162e+01
248.5352,1.77240096e+01,1.77099255e+01
249.0234,8.27798790e+00,8.27130661e+00
249.5117,7.69809014e+00,7.69192195e+00
250.0000,5.66953413e+00,5.66496121e+00
